date,year,month,day,quarter,day_of_week,is_weekend,time_id
2020-01-02 07:59:29.070,2020,1,2,1,3,False,1
2020-01-03 07:59:29.070,2020,1,3,1,4,False,2
2020-01-04 07:59:29.070,2020,1,4,1,5,True,3
2020-01-05 07:59:29.070,2020,1,5,1,6,True,4
2020-01-06 07:59:29.070,2020,1,6,1,0,False,5
2020-01-07 07:59:29.070,2020,1,7,1,1,False,6
2020-01-08 07:59:29.070,2020,1,8,1,2,False,7
2020-01-09 07:59:29.070,2020,1,9,1,3,False,8
2020-01-10 07:59:29.070,2020,1,10,1,4,False,9
2020-01-11 07:59:29.070,2020,1,11,1,5,True,10
2020-01-12 07:59:29.070,2020,1,12,1,6,True,11
2020-01-13 07:59:29.070,2020,1,13,1,0,False,12
2020-01-14 07:59:29.070,2020,1,14,1,1,False,13
2020-01-15 07:59:29.070,2020,1,15,1,2,False,14
2020-01-16 07:59:29.070,2020,1,16,1,3,False,15
2020-01-17 07:59:29.070,2020,1,17,1,4,False,16
2020-01-18 07:59:29.070,2020,1,18,1,5,True,17
2020-01-19 07:59:29.070,2020,1,19,1,6,True,18
2020-01-20 07:59:29.070,2020,1,20,1,0,False,19
2020-01-21 07:59:29.070,2020,1,21,1,1,False,20
2020-01-22 07:59:29.070,2020,1,22,1,2,False,21
2020-01-23 07:59:29.070,2020,1,23,1,3,False,22
2020-01-24 07:59:29.070,2020,1,24,1,4,False,23
2020-01-25 07:59:29.070,2020,1,25,1,5,True,24
2020-01-26 07:59:29.070,2020,1,26,1,6,True,25
2020-01-27 07:59:29.070,2020,1,27,1,0,False,26
2020-01-28 07:59:29.070,2020,1,28,1,1,False,27
2020-01-29 07:59:29.070,2020,1,29,1,2,False,28
2020-01-30 07:59:29.070,2020,1,30,1,3,False,29
2020-01-31 07:59:29.070,2020,1,31,1,4,False,30
2020-02-01 07:59:29.070,2020,2,1,1,5,True,31
2020-02-02 07:59:29.070,2020,2,2,1,6,True,32
2020-02-03 07:59:29.070,2020,2,3,1,0,False,33
2020-02-04 07:59:29.070,2020,2,4,1,1,False,34
2020-02-05 07:59:29.070,2020,2,5,1,2,False,35
2020-02-06 07:59:29.070,2020,2,6,1,3,False,36
2020-02-07 07:59:29.070,2020,2,7,1,4,False,37
2020-02-08 07:59:29.070,2020,2,8,1,5,True,38
2020-02-09 07:59:29.070,2020,2,9,1,6,True,39
